marble,nonliv_trash
oak,living_trash
lizard,living_livBlk
coat,nonliv_livBlk
sparrow,living_livBlk
goldfish,living_livBlk
lion,living_livBlk
alligator,living_livBlk
pebble,nonliv_livBlk
shark,living_livBlk
knob,nonliv_livBlk
table,nonliv_livBlk
shark,living_livBlk
bicycle,nonliv_livBlk
cloud,nonliv_livBlk
marble,nonliv_livBlk
cloud,nonliv_livBlk
alligator,living_livBlk
sparrow,living_livBlk
lizard,living_livBlk
snowflake,nonliv_livBlk
mushroom,living_livBlk
lion,living_livBlk
pebble,nonliv_livBlk
bicycle,nonliv_livBlk
table,nonliv_livBlk
oak,living_livBlk
mushroom,living_livBlk
knob,nonliv_livBlk
marble,nonliv_livBlk
coat,nonliv_livBlk
goldfish,living_livBlk
snowflake,nonliv_livBlk
oak,living_livBlk
