oak,big_trash
coat,big_trash
goldfish,living_trash
knob,nonliv_trash
marble,nonliv_mixBk2_no
lizard,small_mixBk2_sw
goldfish,small_mixBk2_no
cloud,nonliv_mixBk2_sw
oak,big_mixBk2_sw
table,nonliv_mixBk2_sw
pebble,nonliv_mixBk2_no
coat,big_mixBk2_sw
shark,living_mixBk2_sw
table,nonliv_mixBk2_no
goldfish,small_mixBk2_sw
coat,big_mixBk2_no
lizard,small_mixBk2_no
knob,nonliv_mixBk2_sw
coat,nonliv_mixBk2_no
snowflake,small_mixBk2_sw
marble,nonliv_mixBk2_sw
mushroom,small_mixBk2_sw
table,big_mixBk2_no
cloud,big_mixBk2_no
alligator,big_mixBk2_no
lizard,living_mixBk2_sw
cloud,nonliv_mixBk2_no
sparrow,small_mixBk2_sw
mushroom,living_mixBk2_sw
alligator,living_mixBk2_no
table,big_mixBk2_sw
goldfish,living_mixBk2_sw
cloud,big_mixBk2_sw
lion,big_mixBk2_no
snowflake,nonliv_mixBk2_sw
shark,living_mixBk2_no
sparrow,living_mixBk2_no
marble,small_mixBk2_sw
pebble,nonliv_mixBk2_sw
knob,nonliv_mixBk2_no
alligator,big_mixBk2_sw
shark,big_mixBk2_no
pebble,small_mixBk2_no
snowflake,small_mixBk2_no
bicycle,big_mixBk2_no
lion,living_mixBk2_sw
oak,living_mixBk2_no
goldfish,living_mixBk2_no
shark,big_mixBk2_sw
sparrow,small_mixBk2_no
oak,living_mixBk2_sw
mushroom,living_mixBk2_no
lizard,living_mixBk2_no
bicycle,big_mixBk2_sw
marble,small_mixBk2_no
alligator,living_mixBk2_sw
snowflake,nonliv_mixBk2_no
lion,living_mixBk2_no
pebble,small_mixBk2_sw
oak,big_mixBk2_no
coat,nonliv_mixBk2_sw
bicycle,nonliv_mixBk2_no
knob,small_mixBk2_sw
sparrow,living_mixBk2_sw
lion,big_mixBk2_sw
mushroom,small_mixBk2_no
knob,small_mixBk2_no
bicycle,nonliv_mixBk2_sw
